Geo Code,Geo,Crime Code,Crime,Value,Year,Indicator Code,Formule,Measure Of Unit
2004601,Lajes do Pico,1,Crimes of assault,4.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
2004602,Madalena,1,Crimes of assault,9.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
2004603,São Roque do Pico,1,Crimes of assault,7.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
2004701,Horta,1,Crimes of assault,6.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
2004801,Lajes das Flores,1,Crimes of assault,,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
2004802,Santa Cruz das Flores,1,Crimes of assault,14.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
2004901,Corvo,1,Crimes of assault,,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
3,Região Autónoma da Madeira,1,Crimes of assault,7.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
30,Região Autónoma da Madeira,1,Crimes of assault,7.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
300,Região Autónoma da Madeira,1,Crimes of assault,7.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
3003101,Calheta,1,Crimes of assault,5.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
3003102,Câmara de Lobos,1,Crimes of assault,6.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
3003103,Funchal,1,Crimes of assault,7.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
3003104,Machico,1,Crimes of assault,10.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
3003105,Ponta do Sol,1,Crimes of assault,5.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
3003106,Porto Moniz,1,Crimes of assault,8.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
3003107,Ribeira Brava,1,Crimes of assault,10,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
3003108,Santa Cruz,1,Crimes of assault,4.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11D1805,Lamego,1,Crimes of assault,4.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11D1807,Moimenta da Beira,1,Crimes of assault,3.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11D1812,Penedono,1,Crimes of assault,4.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11D1815,São João da Pesqueira,1,Crimes of assault,4.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11D1818,Sernancelhe,1,Crimes of assault,6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11D1819,Tabuaço,1,Crimes of assault,5.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11D1820,Tarouca,1,Crimes of assault,3.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11E,Terras de Trás-os-Montes,1,Crimes of assault,6.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11E0401,Alfândega da Fé,1,Crimes of assault,8.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11E0402,Bragança,1,Crimes of assault,6.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11E0405,Macedo de Cavaleiros,1,Crimes of assault,5.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11E0406,Miranda do Douro,1,Crimes of assault,6.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11E0407,Mirandela,1,Crimes of assault,8.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11E0408,Mogadouro,1,Crimes of assault,4.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11E0410,Vila Flor,1,Crimes of assault,5.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11E0411,Vimioso,1,Crimes of assault,5.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11E0412,Vinhais,1,Crimes of assault,4.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
15,Algarve,1,Crimes of assault,6.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
150,Algarve,1,Crimes of assault,6.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500802,Alcoutim,1,Crimes of assault,3.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500803,Aljezur,1,Crimes of assault,2.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500804,Castro Marim,1,Crimes of assault,4.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500805,Faro,1,Crimes of assault,7.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500806,Lagoa,1,Crimes of assault,5.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500807,Lagos,1,Crimes of assault,7.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500808,Loulé,1,Crimes of assault,6.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500809,Monchique,1,Crimes of assault,2.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500810,Olhão,1,Crimes of assault,7.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500811,Portimão,1,Crimes of assault,8.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500812,São Brás de Alportel,1,Crimes of assault,4.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500813,Silves,1,Crimes of assault,4.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500814,Tavira,1,Crimes of assault,5.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500815,Vila do Bispo,1,Crimes of assault,4.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1500816,Vila Real de Santo António,1,Crimes of assault,8.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16,Centro,1,Crimes of assault,4.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16B,Oeste,1,Crimes of assault,4.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16B1001,Alcobaça,1,Crimes of assault,4.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16B1005,Bombarral,1,Crimes of assault,5.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16B1006,Caldas da Rainha,1,Crimes of assault,3.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16B1011,Nazaré,1,Crimes of assault,6.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16B1012,Óbidos,1,Crimes of assault,2.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16B1014,Peniche,1,Crimes of assault,5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16B1101,Alenquer,1,Crimes of assault,4.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16B1102,Arruda dos Vinhos,1,Crimes of assault,2.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16B1104,Cadaval,1,Crimes of assault,4.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16B1108,Lourinhã,1,Crimes of assault,5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16B1112,Sobral de Monte Agraço,1,Crimes of assault,4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16B1113,Torres Vedras,1,Crimes of assault,4.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16D,Região de Aveiro,1,Crimes of assault,5.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11D1710,Sabrosa,1,Crimes of assault,4.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11D1711,Santa Marta de Penaguião,1,Crimes of assault,3.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11D1714,Vila Real,1,Crimes of assault,4.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11D1801,Armamar,1,Crimes of assault,1.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1,Continente,1,Crimes of assault,5.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11,Norte,1,Crimes of assault,5.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
111,Alto Minho,1,Crimes of assault,5.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1111601,Arcos de Valdevez,1,Crimes of assault,5.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1111602,Caminha,1,Crimes of assault,5.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1111603,Melgaço,1,Crimes of assault,3.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1111604,Monção,1,Crimes of assault,3.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1111605,Paredes de Coura,1,Crimes of assault,4.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1111606,Ponte da Barca,1,Crimes of assault,4.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1111607,Ponte de Lima,1,Crimes of assault,4.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1111608,Valença,1,Crimes of assault,7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1111609,Viana do Castelo,1,Crimes of assault,5.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1111610,Vila Nova de Cerveira,1,Crimes of assault,3.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
112,Cávado,1,Crimes of assault,4.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1120301,Amares,1,Crimes of assault,8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1120302,Barcelos,1,Crimes of assault,3.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1120303,Braga,1,Crimes of assault,4.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1120306,Esposende,1,Crimes of assault,4.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1120310,Terras de Bouro,1,Crimes of assault,7.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1120313,Vila Verde,1,Crimes of assault,5.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
119,Ave,1,Crimes of assault,4.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1190304,Cabeceiras de Basto,1,Crimes of assault,5.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1190307,Fafe,1,Crimes of assault,4.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1190308,Guimarães,1,Crimes of assault,4.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1190309,Póvoa de Lanhoso,1,Crimes of assault,3.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1190311,Vieira do Minho,1,Crimes of assault,5.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1190312,Vila Nova de Famalicão,1,Crimes of assault,4.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1190314,Vizela,1,Crimes of assault,4.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1191705,Mondim de Basto,1,Crimes of assault,5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A,Área Metropolitana do Porto,1,Crimes of assault,6.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A0104,Arouca,1,Crimes of assault,2.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A0107,Espinho,1,Crimes of assault,8.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A0109,Santa Maria da Feira,1,Crimes of assault,5.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A0113,Oliveira de Azeméis,1,Crimes of assault,4.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A0116,São João da Madeira,1,Crimes of assault,8.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A0119,Vale de Cambra,1,Crimes of assault,3.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A1304,Gondomar,1,Crimes of assault,6.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A1306,Maia,1,Crimes of assault,5.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A1308,Matosinhos,1,Crimes of assault,6.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A1310,Paredes,1,Crimes of assault,5.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A1312,Porto,1,Crimes of assault,10.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A1313,Póvoa de Varzim,1,Crimes of assault,5.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A1314,Santo Tirso,1,Crimes of assault,4.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
11A1315,Valongo,1,Crimes of assault,5.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
